土	つち	earth, soil, dirt, clay, mud, the earth (historically, esp. as opposed to the heavens), the ground, the land, low-quality torinoko-gami (containing mud), (period of) refraining from construction in the direction of the god of the earth (in Onmyōdō)	n3|noun	
地	ち	earth, ground, land, soil, place, territory, bottom (of a package, book, etc.), earth (one of the five elements)	n3|noun	
坂	さか	slope, incline, hill, milestone, (age) mark	n4|noun	
坪	つぼ	tsubo, traditional unit of land area, approx. 3.31 square meters, tsubo, traditional unit of fabric or paper area, approx. 9.18 square centimeters, tsubo, traditional unit of leather or tile area, approx. 918 square centimeters, cubic tsubo (approx. 6 cubic metres)	noun	
型	かた	type, style, model, pattern, mold, mould, model, pattern, template, impression, kata (set sequence of positions and movements in martial arts), style (in kabuki, noh, etc.), form, convention, tradition, (standard) form, formula, usage, (set) size, inches (in sizes of displays, disks, image sensors, etc.), (taxonomical) form	n3|noun	
垢	あか	dirt, filth, grime	n1|noun	
垣	かき	fence, hedge, barrier, wall, railing	noun	
埃	ほこり	dust	kana|n3|noun	
城	しろ	castle	n3|noun	
堀	ほり	moat, fosse, canal, ditch	n3|noun	
堂	どう	temple, shrine, chapel, hall, company, front room	noun|suffix	
堤	つつみ	bank, embankment, dike	noun	
堰	せき	dam, weir, barrier, sluice	noun	
報	ほう	information, news, report, reward, retribution	noun	
場	ば	place, spot, space, field, discipline, sphere, realm, occasion, situation, scene (of a play, movie, etc.), session (of the stock market), field, table, area in which cards are laid out (in a card game), round (east, south, etc.), field, field	n3|noun	
塀	へい	wall, fence	n3|noun	
塁	るい	base, bag, sack, fortress, stronghold	noun	
塊	かたまり	lump, mass, bundle, clump, clod, cluster, group, crowd, embodiment (of an idea, quality, feeling etc.), personification	n2|noun	
塔	とう	tower, steeple, spire, stupa, pagoda, dagoba	n3|noun	
塚	つか	mound, heap, hillock, burial mound, tomb, tumulus, barrow, gravesite, standing stone, stone signpost, roadside stone statue	noun	
塩	しお	salt, common salt, table salt, sodium chloride, hardship, toil, trouble, saltiness, cold, unwelcoming, indifferent	colloquial|n5|noun	
塵	ごみ	rubbish, trash, garbage, refuse	kana|n3|noun	
塵	ちり	dust, trash, garbage, rubbish, dirt, negligible amount, tiny bit, hustle and bustle (of life), worldly cares, impurities of the world, ritual gestures indicating that a fight will be clean	noun	
塾	じゅく	cram school, private tutoring school, juku	n1|noun	
境	さかい	border, boundary, turning point, watershed, area, region, spot, space, environment, psychological state, mental state, cognitive object, something perceptible by the sense organs or mind	n3|noun	
墓	はか	grave, gravesite, tomb	n3|noun	
墨	すみ	sumi, India ink, Chinese ink, ink stick, ink-cake, squid ink, octopus ink, carpenters inking string	n2|noun	
壁	かべ	wall, partition, barrier, obstacle, Chinese Wall constellation (one of the 28 mansions)	n4|noun	
壇	だん	platform, podium, rostrum, pulpit, (ceremonial) mound, world (of haiku, art, etc.), (literary) circles, mandala	n1|noun	
壕	ごう	moat, fosse, trench, ditch, underground air-raid shelter, dugout	n1|noun	
声	こえ	voice, singing (of a bird), chirping (of an insect), hoot, voice, opinion (as expressed in words), view, wish, attitude, will, sound, sense (of somethings arrival), feeling, voice, voiced sound	n5|noun	
壺	つぼ	pot, jar, vase, dice cup, depression, basin (e.g. of a waterfall), aim, what one wants, the mark, key point (of a conversation, etc.), essence, acupuncture point, moxibustion point, pressure point, position on the fingerboard (of a shamisen, koto, etc.), target (when aiming an arrow)	kana|n1|noun	
変	へん	strange, odd, peculiar, weird, curious, queer, eccentric, funny, suspicious, fishy, unexpected, change, incident, disturbance, disaster, accident, flat	adjective|n4|noun|な adjective	
夏	なつ	summer	adverb|n5|noun	
夕	ゆう	evening	adverb|noun	
外	がい	outside ..., beyond ..., not included in ...	suffix	
外	そと	outside, exterior, the open (air), other place, somewhere else, outside ones group (family, company, etc.)	n5|noun	
多	た	multi-	noun|prefix	
夜	よる	evening, night, dinner	adverb|n5|noun	
夢	ゆめ	dream	n4|noun	
大	おお	large, big, great, major, important, serious, heavy, loud, older, senior, final, ultimate, rough, broad, general	prefix	
大	だい	large, big, great, huge, vast, major, important, serious, severe, great, prominent, eminent, distinguished, -sized, as big as, the size of, university, large (e.g. serving size), large option, long month (i.e. having 31 days)	adjective|noun|prefix|suffix|な adjective	
天	てん	sky, heaven, God, svarga (heaven-like realm visited as a stage of death and rebirth), deva (divine being of Buddhism), top (of a book), sole (of a Japanese sandal), beginning, start, tempura, India	noun	
夫	おっと	husband	n4|noun	
夷	えびす	peoples formerly of northern Japan with distinct language and culture (i.e. the Ainu), provincial (i.e. a person who lives far from the city), brutish, unsophisticated warrior (esp. used by Kyoto samurai to refer to samurai from eastern Japan), foreigner, barbarian	derogatory|noun	
奥	おく	inner part, inside, interior, depths (e.g. of a forest), back (of a house, drawer, etc.), bottom (e.g. of ones heart), recesses, heart	n3|noun	
女	おんな	female, woman, female sex, female lover, girlfriend, mistress, (someones) woman	n5|noun	
奴	やつ	fellow, guy, chap, thing, object, he, she, him, her	colloquial|kana|noun|pronoun	
妃	ひ	princess, consort	noun	
妙	みょう	strange, weird, odd, curious, wonder, mystery, miracle, excellence, cleverness, adroitness, knack, skill	adjective|n3|noun|な adjective	
妹	いもうと	younger sister	n5|noun	
妻	つま	wife, garnish (esp. one served with sashimi), trimmings, accompaniment, side (remark)	kana|n4|noun	
妾	めかけ	mistress, kept woman, concubine	noun	
姉	あね	older sister, elder sister	n5|noun	
姑	しゅうとめ	mother-in-law	noun	
姓	せい	surname, family name, hereditary title (used in ancient Japan to denote rank and political standing)	n2|noun	
姪	めい	niece	n2|noun	
姫	ひめ	young lady of noble birth, princess (esp. in Western contexts, tales, etc.), girl, small, cute, lesser (in names of species), prostitute	noun|prefix	
姿	すがた	figure, form, shape, appearance, dress, guise, state, condition, picture, image, form (of a waka), dressed in ..., wearing ...	n3|noun	
娘	むすめ	daughter, girl (i.e. a young, unmarried woman)	n4|noun	
婆	ばば	old woman, joker (in old maid)	kana|noun	
婿	むこ	husband, groom, (ones) son-in-law	n1|noun	
嫁	よめ	bride, (ones) daughter-in-law, wife	n3|noun	
嫌	いや	disliking, not wanting, unwilling (to do), reluctant, unpleasant, disagreeable, nasty, horrible, disgusting, undesirable, unwelcome, no!, quit it!, stop!	adjective|kana|n5|な adjective	
嬢	じょう	unmarried woman, Miss, -ess, -ette	n1|noun	
子	こ	child, kid, teenager, youngster, young (non-adult) person, (ones) child, offspring, young woman, young (animal), offshoot, interest, new share, player who is not a dealer, young geisha, young prostitute, bird egg, -er (often of young women)	n4|noun	
子	ね	the Rat (first sign of the Chinese zodiac), hour of the Rat (around midnight, 11pm to 1am, or 12 midnight to 2am), north, eleventh month of the lunar calendar	noun	
字	あざ	section of village	n1|noun|suffix	
字	じ	character (esp. kanji), letter, written text, handwriting, penmanship, the ... word (e.g. the L word = love)	n4|noun	
学	がく	learning, scholarship, study, erudition, knowledge, education, study of ..., -ology, -ics	n3|noun	
孫	まご	grandchild	n3|noun	
宅	たく	house, home, ones house, ones home, ones husband	n3|noun	
宗	しゅう	sect, denomination, tenets (of a religious sect)	noun	
宙	ちゅう	space, air, midair, (from) memory, (by) heart	noun	
宝	たから	treasure	n3|noun	
実	じつ	truth, reality, sincerity, honesty, fidelity, content, substance, (good) result	adjective|n1|noun|taking の	
実	み	fruit, nut, seed, (in broth) pieces of meat, vegetable, etc., content, substance	n3|noun	
客	きゃく	guest, visitor, customer, client, shopper, spectator, audience, tourist, sightseer, passenger, counter for containers used to entertain guests	counter|n4|noun	
室	しつ	room, wife (of someone of high rank), scabbard, Chinese Encampment constellation (one of the 28 mansions)	n1|noun	
害	がい	injury, harm, evil influence, damage	n3|noun	
宴	うたげ	party, banquet, feast	noun	
宵	よい	evening, early night hours	noun	
家	いえ	house, residence, dwelling, family, household, lineage, family name	n5|noun	
家	うち	house, ones house, ones home, ones family, ones household	kana|noun	
家	け	house, family	suffix	
宿	やど	lodging, inn, hotel, house, home, dwelling, home of a servants parents (or guarantor, etc.)	n3|noun	
寂	さび	patina, antique look, elegant simplicity, well-trained voice	noun	
寅	とら	the Tiger (third sign of the Chinese zodiac), hour of the Tiger (around 4am, 3-5am, or 4-6am), east-northeast, first month of the lunar calendar	noun	
富	とみ	riches, wealth, fortune, resources, lottery	n1|noun	
寒	かん	midwinter, cold season, coldest days of the year	noun	
寝	ね	sleep	noun	
寮	りょう	hostel, dormitory, bureau (government department beneath a ministry under the ritsuryō system), tea-ceremony room, villa	n2|noun	
寸	すん	sun (approx. 3.03 cm), length, measurement, shortness, tininess	noun	
寺	てら	temple (Buddhist)	n4|noun	
対	たい	versus, against, vs., v., to (e.g. score of 4 to 2, ratio of 3 to 1, vote of 320 to 180), toward ..., to ..., with ..., against ..., anti-, equal footing, equal terms, opposite	noun	
対	つい	pair, couple, set, antithesis, counter for items that come in pairs, counter for sets (of clothes, small furniture, utensils, etc.)	counter|n3|noun	
寿	ことぶき	congratulations, felicitations, best wishes, longevity, long life	noun	
封	ふう	seal	n1|noun	
将	しょう	commander, general, leader	noun	
小	こ	small, little, slight, slightly less than, just about, somewhat, somehow, minor, petty	prefix	
小	しょう	smallness, small item, short month (i.e. having fewer than 31 days), elementary school, smaller (of two things, places, etc. with the same name), inferior, younger (of two people with the same name), junior, unit of field area (approx. 400 sq m)	n3|noun	
少	しょう	small, little, few	prefix	
尚	なお	still, yet, more, still more, greater, further, as ..., like ..., furthermore, in addition, moreover, note that ...	adverb|conjunction|kana|n1	
尺	しゃく	shaku (unit of distance approximately equal to 30.3 cm), rule, measure, scale, length	noun	
尻	しり	buttocks, behind, rump, bottom, hips, undersurface, bottom, last place, end, consequence	n3|noun	
尼	あま	Buddhist nun, Catholic nun, sister, bitch, Amagasaki (city in Hyogo Prefecture), Amazon (online retailer)	derogatory|kana|noun|slang	
尾	お	tail (of an animal), tail (of a kite, etc.), tail end, tail (of a comet), slope at the foot of a mountain	n1|noun	
尿	にょう	urine	n1|noun	
局	きょく	bureau, department, office (e.g. post, telephone), broadcasting station (e.g. television, radio), channel, exchange, affair, situation, game (of go, shogi, etc.)	counter|n3|noun	
屁	おなら	wind, gas, fart	kana|noun	
届	とどけ	report, notification, registration	n1|noun	
